State Code,County Code,Site Number,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Duration Description,Pollutant Standard,Year,Units of Measure,Exceptional Data Type,Observation Count,Observation Percent,Primary Exceedance Count,Secdary Exceedance Count,Valid Day Count,Required Day Count,Exceptional Data Count,Certification Indicator,Null Data Count,Half MDL Sub Count,Nonregulatory Arithmetic Mean,Arithmetic Mean,Arithmetic Standard Dev,Weighted Arithmetic Mean,Minimum Value,Nonreg First Maximum Value,Nonreg First Maximum DateTime,First Maximum Value,First Maximum DateTime,Second Maximum Value,Second Maximum DateTime,Third Maximum Value,Third Maximum DateTime,Fourth Maximum Value,Fourth Maximum DateTime,50th Perecentile,75th Perecentile,90th Perecentile,95th Perecentile,98th Perecentile,99th Perecentile,Method Count,Tribe Name,State Name,County Name,City Name,Local Site Name,Address,MSA or CBSA Name,Data Source
29,99,9,14129,1,38.2862142160284,-90.3810235958308,NAD 83.00,Lead (TSP) LC,24 HOUR,Lead 3-Month 2009,2010,Micrograms/cubic meter (LC),No Events,54,89,0,0,54,61,0,Uncertified (past due),1,0,,0.048185,0.05265,.,0.007,,,0.205,2010-11-10 00:00,0.201,2010-09-29 00:00,0.199,2010-04-02 00:00,0.192,2010-04-14 00:00,0.024,0.069,0.106,0.199,0.201,0.205,1,,Missouri,Jefferson,Pevely,Pevely,"PEVELY: 500 Dow Industrial Drive, Pevely, MO 63070","St. Louis, MO-IL",AQS Data Mart
29,99,9,68105,1,38.2862142160284,-90.3810235958308,NAD 83.00,Average Ambient Temperature,24 HOUR,,2010,Degrees Centigrade,No Events,251,100,.,.,55,55,0,Certification not required,0,0,,18.543825,9.562974,.,-6.9,,,31.9,2010-08-03 00:00,31.9,2010-08-04 00:00,31.1,2010-07-23 00:00,30.6,2010-08-09 00:00,21.3,26.1,28.4,29.9,30.4,31.1,1,,Missouri,Jefferson,Pevely,Pevely,"PEVELY: 500 Dow Industrial Drive, Pevely, MO 63070","St. Louis, MO-IL",AQS Data Mart
29,99,9,68108,1,38.2862142160284,-90.3810235958308,NAD 83.00,Average Ambient Pressure,24 HOUR,,2010,Millimeters (mercury),No Events,251,100,.,.,55,55,0,Certification not required,0,0,,752.143426,3.695855,.,738,,,761,2010-05-09 00:00,761,2010-10-05 00:00,760,2010-03-06 00:00,760,2010-04-14 00:00,752,754,756,758,760,760,1,,Missouri,Jefferson,Pevely,Pevely,"PEVELY: 500 Dow Industrial Drive, Pevely, MO 63070","St. Louis, MO-IL",AQS Data Mart
