State Code,County Code,Site Number,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Duration Description,Pollutant Standard,Year,Units of Measure,Exceptional Data Type,Observation Count,Observation Percent,Primary Exceedance Count,Secdary Exceedance Count,Valid Day Count,Required Day Count,Exceptional Data Count,Certification Indicator,Null Data Count,Half MDL Sub Count,Nonregulatory Arithmetic Mean,Arithmetic Mean,Arithmetic Standard Dev,Weighted Arithmetic Mean,Minimum Value,Nonreg First Maximum Value,Nonreg First Maximum DateTime,First Maximum Value,First Maximum DateTime,Second Maximum Value,Second Maximum DateTime,Third Maximum Value,Third Maximum DateTime,Fourth Maximum Value,Fourth Maximum DateTime,50th Perecentile,75th Perecentile,90th Perecentile,95th Perecentile,98th Perecentile,99th Perecentile,Method Count,Tribe Name,State Name,County Name,City Name,Local Site Name,Address,MSA or CBSA Name,Data Source
29,99,5,12128,3,38.267084505513,-90.3788534994337,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,1990,Micrograms/cubic meter (25 C),No Events,60,98,.,.,58,61,0,Certification not required,0,0,,1.408667,1.974234,.,0.06,,,10.45,1990-06-16 00:00,9.06,1990-10-20 00:00,5.04,1990-11-01 00:00,4.15,1990-04-23 00:00,0.73,1.87,3.95,5.04,9.06,10.45,1,,Missouri,Jefferson,Herculaneum,,"DUNKLIN HIGH SCHOOL: 1 Black Cat Dr., Herculaneum, MO, 63048","St. Louis, MO-IL",AQS Data Mart
29,99,5,81102,2,38.267084505513,-90.3788534994337,WGS84,PM10 Total 0-10um STP,24 HOUR,PM10 24-hour 2006,1990,Micrograms/cubic meter (25 C),No Events,56,92,0,0,56,61,0,Certified,0,0,,26.071429,12.42118,26.0714285714285,6,,,67,1990-07-28 00:00,62,1990-07-10 00:00,53,1990-06-16 00:00,51,1990-07-04 00:00,24,28,46,53,62,67,1,,Missouri,Jefferson,Herculaneum,,"DUNKLIN HIGH SCHOOL: 1 Black Cat Dr., Herculaneum, MO, 63048","St. Louis, MO-IL",AQS Data Mart
29,99,5,12128,1,38.267084505513,-90.3788534994337,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,1990,Micrograms/cubic meter (25 C),No Events,53,87,.,.,51,61,0,Certified,0,0,,1.703774,2.225256,.,0.14,,,11,1990-06-16 00:00,9.2,1990-10-20 00:00,7.5,1990-11-01 00:00,5.4,1990-08-02 00:00,0.75,2.1,3.7,7.5,9.2,11,1,,Missouri,Jefferson,Herculaneum,,"DUNKLIN HIGH SCHOOL: 1 Black Cat Dr., Herculaneum, MO, 63048","St. Louis, MO-IL",AQS Data Mart
