State Code,County Code,Site Number,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Duration Description,Pollutant Standard,Year,Units of Measure,Exceptional Data Type,Observation Count,Observation Percent,Primary Exceedance Count,Secdary Exceedance Count,Valid Day Count,Required Day Count,Exceptional Data Count,Certification Indicator,Null Data Count,Half MDL Sub Count,Nonregulatory Arithmetic Mean,Arithmetic Mean,Arithmetic Standard Dev,Weighted Arithmetic Mean,Minimum Value,Nonreg First Maximum Value,Nonreg First Maximum DateTime,First Maximum Value,First Maximum DateTime,Second Maximum Value,Second Maximum DateTime,Third Maximum Value,Third Maximum DateTime,Fourth Maximum Value,Fourth Maximum DateTime,50th Perecentile,75th Perecentile,90th Perecentile,95th Perecentile,98th Perecentile,99th Perecentile,Method Count,Tribe Name,State Name,County Name,City Name,Local Site Name,Address,MSA or CBSA Name,Data Source
29,99,9002,14129,1,38.267084505513,-90.3788534994337,WGS84,Lead (TSP) LC,24 HOUR,Lead 3-Month 2009,2011,Micrograms/cubic meter (LC),No Events,120,100,3,3,61,61,0,Uncertified (past due),1,0,,0.233542,0.294961,.,0.009,,,1.49,2011-05-09 00:00,1.239,2011-06-20 00:00,1.073,2011-11-02 00:00,1.067,2011-05-21 00:00,0.103,0.357,0.658,0.922,1.073,1.239,2,,Missouri,Jefferson,Herculaneum,"Herculaneum, Dunklin High School","DUNKLIN HIGH SCHOOL: 1 Black Cat Dr., Herculaneum, MO 63048","St. Louis, MO-IL",AQS Data Mart
29,99,9002,68105,1,38.267084505513,-90.3788534994337,WGS84,Average Ambient Temperature,24 HOUR,,2011,Degrees Centigrade,No Events,121,100,.,.,61,61,0,Certification not required,0,0,,14.36281,10.639722,.,-10.2,,,31.7,2011-07-11 00:00,30.8,2011-07-23 00:00,30.7,2011-07-20 00:00,30.6,2011-08-01 00:00,15.5,23.7,27.8,29.3,30.7,30.8,1,,Missouri,Jefferson,Herculaneum,"Herculaneum, Dunklin High School","DUNKLIN HIGH SCHOOL: 1 Black Cat Dr., Herculaneum, MO 63048","St. Louis, MO-IL",AQS Data Mart
29,99,9002,68108,1,38.267084505513,-90.3788534994337,WGS84,Average Ambient Pressure,24 HOUR,,2011,Millimeters (mercury),No Events,121,100,.,.,61,61,0,Certification not required,0,0,,749.099174,4.965556,.,737,,,763,2011-01-12 00:00,760,2011-12-11 00:00,759,2011-02-08 00:00,759,2011-12-02 00:00,748,753,756,758,759,760,1,,Missouri,Jefferson,Herculaneum,"Herculaneum, Dunklin High School","DUNKLIN HIGH SCHOOL: 1 Black Cat Dr., Herculaneum, MO 63048","St. Louis, MO-IL",AQS Data Mart
