State Code,County Code,Site Number,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Duration Description,Pollutant Standard,Year,Units of Measure,Exceptional Data Type,Observation Count,Observation Percent,Primary Exceedance Count,Secdary Exceedance Count,Valid Day Count,Required Day Count,Exceptional Data Count,Certification Indicator,Null Data Count,Half MDL Sub Count,Nonregulatory Arithmetic Mean,Arithmetic Mean,Arithmetic Standard Dev,Weighted Arithmetic Mean,Minimum Value,Nonreg First Maximum Value,Nonreg First Maximum DateTime,First Maximum Value,First Maximum DateTime,Second Maximum Value,Second Maximum DateTime,Third Maximum Value,Third Maximum DateTime,Fourth Maximum Value,Fourth Maximum DateTime,50th Perecentile,75th Perecentile,90th Perecentile,95th Perecentile,98th Perecentile,99th Perecentile,Method Count,Tribe Name,State Name,County Name,City Name,Local Site Name,Address,MSA or CBSA Name,Data Source
29,99,15,68105,1,38.2617915852091,-90.3788444916368,WGS84,Average Ambient Temperature,24 HOUR,,2009,Degrees Centigrade,No Events,273,100,.,.,46,46,0,Certification not required,0,0,,14.785714,10.84822,.,-15.5,,,30.8,2009-06-23 00:00,30,2009-06-22 00:00,29.9,2009-06-19 00:00,29.8,2009-08-09 00:00,18.7,23,25.9,27.1,29.6,29.9,2,,Missouri,Jefferson,Herculaneum,,"Broad Street: Herculaneum, MO 63048","St. Louis, MO-IL",AQS Data Mart
29,99,15,14129,1,38.2617915852091,-90.3788444916368,WGS84,Lead (TSP) LC,24 HOUR,Lead 3-Month 2009,2009,Micrograms/cubic meter (LC),No Events,259,100,3,3,45,61,0,Uncertified (past due),12,0,,0.91273,1.140081,.,0,,,6.483,2009-02-09 00:00,6.433,2009-02-13 00:00,6.257,2009-05-25 00:00,4.688,2009-07-20 00:00,0.488,1.204,2.397,3.092,4.519,6.257,1,,Missouri,Jefferson,Herculaneum,,"Broad Street: Herculaneum, MO 63048","St. Louis, MO-IL",AQS Data Mart
29,99,15,68108,1,38.2617915852091,-90.3788444916368,WGS84,Average Ambient Pressure,24 HOUR,,2009,Millimeters (mercury),No Events,273,100,.,.,46,46,0,Certification not required,0,0,,752.161172,5.749971,.,733,,,776,2009-02-04 00:00,768,2009-01-14 00:00,765,2009-02-12 00:00,765,2009-03-14 00:00,753,755,758,761,764,765,2,,Missouri,Jefferson,Herculaneum,,"Broad Street: Herculaneum, MO 63048","St. Louis, MO-IL",AQS Data Mart
